Name|Last Release|Code type|Keywords [Max 3]|Field|License|Programming Language|Institution(s)|Website|Related publications|Source code |Contacts|Description|Short description (≤300 chars, summarized)|Concept DOI (from zenodo)|Other DOIs|Software Logo (yes/no)|Image url
DICOMpyler|2016 (latest release)|Application|Software Engineering and Data Infrastructure|Multiple purpose|Not explicitly stated|Python (100.0%)|Not explicitly stated, but developers teamed up to form ONCurate.|www.dicompyler.com|Panchal A and Keyes R. "SU-GG-T-260: dicompyler: An Open Source Radiation Therapy Research Platform with a Plugin Architecture" (2010).|https://github.com/bastula/dicompyler|Google Groups discussion forum|https://raw.githubusercontent.com/bastula/dicompyler/refs/heads/master/README.md|Archived by owner on Feb 2, 2022, no longer supported. Built on pydicom, wxPython, Pillow, matplotlib.|NA|10.1118/1.3468652 (for the publication).|Yes|https://www.dicompyler.com/images/dicompyler_icon_64.png
DVH-analytics|2021 (latest release mentioned)|Application|Software Engineering and Data Infrastructure|Multiple purpose|	CC-BY-4.0|Python (100.0%)|Not explicitly stated, but one selected study mentions National Cancer Institute. Developers teamed up to form ONCurate.|https://github.com/cutright/DVH-Analytics|Multiple publications listed, e.g., "DVH Analytics: A DVH database for clinicians and researchers" (2018).|https://github.com/cutright/DVH-Analytics|Issues page on GitHub.|https://raw.githubusercontent.com/cutright/DVH-Analytics/refs/heads/master/README.rst|Public archive, no longer supported as of Feb 2, 2022. Designed for building local database of radiation oncology treatment planning data.|NA|10.1002/acm2.12401 (for the 2018 publication). Other publication DOIs also listed. Zenodo mentions general DOI versioning.|Yes|https://user-images.githubusercontent.com/4778878/92505112-351c7780-f1c9-11ea-9b5c-0de1ad2d131d.png
DVTk|2023|Application|Software Engineering and Data Infrastructure|Multiple purpose|LGPL-2.1-or-later|C++ (42.2%), C# (41.7%), C (12.1%)|Philips Healthcare, Agfa, ICT Group.|www.dvtk.org|"Mastering DICOM with DVTk" (2007).|https://github.com/dvtk-org/DVTk|Not explicitly stated. Specific emails for DVTK Arena: szabo.tamas@dvtk.eu, balogh.annamaria@dvtk.eu, etc. ICT Group for consultancy.|https://raw.githubusercontent.com/dvtk-org/DVTk/refs/heads/master/README.md|DVTk is an open-source project for testing, validating and diagnosing communication protocols and scenarios in medical environments. It supports DICOM, HL7 and IHE integration profiles.|NA|10.1007/s10278-007-9057-0 (for the 2007 publication). |Yes|https://www.dvtk.org/wp-content/themes/dvtk/images/logo-dvtk-new.png
PlatiPy|2024 (latest release)|Library/Toolkit|Imaging and Image Processing|Multiple purpose|Apache-2.0|Python (83.0%), JavaScript (9.0%), Jupyter Notebook (3.9%), HTML (3.2%)|Phillip Chlap (UNSW), Robert Finnegan (University of Sydney)|pyplati.github.io/platipy/|Publication linked via DOI.|https://github.com/pyplati/platipy|phillip.chlap@unsw.edu.au, robert.finnegan@sydney.edu.au|https://raw.githubusercontent.com/pyplati/platipy/refs/heads/master/README.md|Aims to simplify use, visualization, processing, and analysis of medical images. Built on SimpleITK, VTK.|NA|10.21105/joss.05374|No|
Pydicer|2024|Library/Toolkit|Imaging and Image Processing|Multiple purpose|Apache-2.0|Python (99.8%)|Ingham Medical Physics team in South-Western Sydney. Supported by Australian Cancer Data Network and Australian Research Data Commons.|australiancancerdatanetwork.github.io/pydicer/|"PyDicer: An open-source python library for conversion and analysis of radiotherapy DICOM data" (2025).|https://github.com/AustralianCancerDataNetwork/pydicer|phillip.chlap@unsw.edu.au, d.almouiee@gmail.com|https://raw.githubusercontent.com/AustralianCancerDataNetwork/pydicer/refs/heads/main/README.md|Eases conversion of Radiotherapy DICOM data to research-ready format (NIfTI). Provides analysis functionality.|NA|10.1016/j.softx.2024.102010 (for the publication).|No|https://avatars.githubusercontent.com/u/78772028?s=200&v=4
pydicom|2024|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|MIT|Python (99.9%)|Darcy Mason and contributors. Not explicitly stated for an institution, but hosted under pydicom organization.|pydicom.github.io/pydicom/dev|"SU-E-T-33: pydicom: an open source DICOM library" (2013).|https://github.com/pydicom/pydicom|Google Groups forum. Gitter community.|https://raw.githubusercontent.com/pydicom/pydicom/refs/heads/main/README.md|Reads, modifies, and writes DICOM data in a "pythonic" way. General-purpose framework, does not handle specifics of individual SOP classes.|https://doi.org/10.5281/zenodo.8034250|10.5281/zenodo.8034250|Yes|https://avatars.githubusercontent.com/u/28906941?s=200&v=4
MITK|2025|Application|Imaging and Image Processing|Multiple purpose|BSD-3-Clause|C++ (95.7%), CMake (3.3%), C (0.9%)|German Cancer Research Center (DKFZ)|www.mitk.org|"The medical imaging interaction toolkit" (2005). "Medical Imaging Interaction Toolkit (MITK): A software system for medical image processing and visualization" (2012).|https://github.com/MITK/MITK|mitk AT dkfz.de (for general inquiries, but mailing list preferred for use/dev questions). Mailing list: mitk-users.|https://raw.githubusercontent.com/MITK/MITK/refs/heads/master/README.md|Combines ITK and VTK with an application framework. Aims to reduce effort for interactive medical image analysis applications.|NA|10.1016/j.media.2005.04.005 (for the 2005 publication). Zenodo records for related projects exist, e.g., 10.5281/zenodo.16269478.|Yes|https://avatars.githubusercontent.com/u/793409?s=200&v=4
MIPAV|2024 (latest version)|Application|Imaging and Image Processing|Multiple purpose|Not standard|Java|National Institutes of Health (NIH).|mipav.cit.nih.gov|214 PubMed Mentions. Publications listed include "Volumetric neuroimage analysis extensions for the MIPAV software package" (2007).|Not explicitly stated (no public repository link provided)|mipav-support@nih.gov (for bugs/features). ListServ. Old emails: mcmatt@exchange.nih.gov, bug@mipav.cit.nih.gov, wishlist@mipav.cit.nih.gov.|The MIPAV (Medical Image Processing, Analysis, and Visualization) application enables quantitative analysis and visualization of medical images of numerous modalities such as PET, MRI, CT, or microscopy. Using MIPAV's standard user-interface and analysis tools, researchers at remote sites (via the internet) can easily share research data and analyses, thereby enhancing their ability to research, diagnose, monitor, and treat medical disorders.\n\nMIPAV is a Java application and can be run on any Java-enabled platform such as Windows, UNIX, or Macintosh OS X. MIPAV installers are created using the multi-platform installer builder install4j and the MIPAV codebase is optimized using the Java profiler JProfiler.|Enables quantitative analysis and visualization of medical images. Cross-platform (Java).|NA|Not explicitly stated for the software itself. RRID: SCR_007371. Publications have DOIs. Zenodo mentions general DOI versioning.|Yes|https://mipav.cit.nih.gov/about.asp_files/splash.gif
OnkoDICOM|2021 (first project release)|Application|Imaging and Image Processing|Multiple purpose|	LGPL-2.1-only|Python (uses pydicom, dicompyler-core, PySide6, PIL, matplotlib)|Not explicitly stated (created with Radiation Oncologists).|onkodicom.com.au|Not explicitly stated for the software itself, but mentions "Publications (22) Med-ImageTools" (likely a mistake in snippet for OnkoDICOM).|https://github.com/didymo/OnkoDICOM|Contact form on website.|https://raw.githubusercontent.com/didymo/OnkoDICOM/refs/heads/master/README.md|Cross-platform. Provides DVH output, clinical data capture (radiomics), Pyradiomics output, anonymization, ROI manipulation.|NA|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|Yes|https://onkodicom.com.au/themes/custom/onkodicom/logo.png
OsiriX|2004 (initial release)|Application|Imaging and Image Processing|Multiple purpose|	LGPL-3.0-or-later|Objective-C (primary), C++, C, Objective-C++|UCLA (original project), LaTour Hospital (Geneva, Switzerland), Pixmeo (company). Cambridge Enterprise (for OSAIRIS AI tool).|www.osirix-viewer.com|"OsiriX: An Open-Source Software for Navigating in Multidimensional DICOM Images" (2004). OSAIRIS AI cancer imaging tool mentioned.|https://github.com/pixmeo/osirix|Contact Pixmeo SARL via form/fax. Email: brc_imaging_ct@cornell.edu (for Horos/Osirix questions at Cornell).|https://raw.githubusercontent.com/pixmeo/osirix/refs/heads/develop/README.md|Widely used DICOM viewer. Supports 2D, 3D, 4D, 5D viewing.|NA|Not explicitly stated for the open-source software itself. Publications have DOIs. Zenodo mentions general DOI versioning.|Yes|https://www.osirix-viewer.com/wp2015/wp-content/uploads/2022/03/OsiriXLogo.png
ROE|2023 (publication date)|Script/Plugin|Treatment Planning and dosimetry|Multiple purpose|	LGPL-3.0-or-later|MATLAB (primary), accessible in GNU Octave and Python|Memorial Sloan Kettering Cancer Center (MSKCC)|Not explicitly stated (available as a CERR module).|"ROE (Radiotherapy Outcomes Estimator): An open-source tool for optimizing radiotherapy prescriptions" (2023).|https://github.com/cerr/CERR.git|iyera@mskcc.org|https://raw.githubusercontent.com/cerr/CERR/refs/heads/master/README.md|Designed for patient-specific prescription determination using personalized dose-response curves. Visualizes TCP and NTCP.|NA|https://doi.org/10.1016/j.cmpb.2023.107833|No|
ApertureComplexity|2017-2018 (copyright/initial development)|Script/Plugin|Treatment Planning and dosimetry|Photons|	GPL-3.0|Python (100.0%)|University of Michigan, Radiation Oncology|https://github.com/victorgabr/ApertureComplexity|"Predicting deliverability of volumetric-modulated arc therapy (VMAT) plans using aperture complexity analysis" (2016) (study used the original script).|https://github.com/victorgabr/ApertureComplexity|Victor Gabriel Leandro Alves (victorgabr on GitHub), Brian Mark Anderson (brianmanderson on GitHub).|https://raw.githubusercontent.com/victorgabr/ApertureComplexity/refs/heads/master/README.md|Contains complete functionality of aperture complexity analysis. Extends methodology to any TPS exporting DICOM-RP.|NA|Not explicitly stated for the software itself. Publication DOI is 10.1120/jacmp.v17i4.6241. Other related DOIs: 10.2478/raon-2021-0046. Zenodo mentions general DOI versioning.|No|
BeamSchemeV1|2008 (initial version) / 2025 (latest release)|Application|Treatment Planning and dosimetry|Photons|Unspecified (available in licence.txt but inaccessible).|Pascal (91.1%), JavaScript (5.4%), CSS (3.5%)|Not explicitly stated (copyright by "AC Chamberlain"). Mentions "university course name Medical Physics".|beamschemev1.readthedocs.io/en/latest/|No specific publications listed for BeamSchemeV1 itself.|https://github.com/alanphys/BeamSchemeV1|No specific contact information provided.|https://raw.githubusercontent.com/alanphys/BeamSchemeV1/refs/heads/master/readme.txt|Assists in extracting 1D profiles from 2D datasets. Calculates over 90 different parameters.|NA|Not explicitly stated for the software itself. Zenodo mentions general DOI versioning for software.|No|
CIL|2025 (latest release)|Application|Imaging and Image Processing|Multiple purpose|Apache-2.0|Python (97.7%), C++ (1.4%), C (0.3%), CMake (0.3%)|Collaborative Computational Project in Tomographic Imaging (CCPi) (implied)|tomographicimaging.github.io/CIL/|Multiple publications listed, e.g., "Core Imaging Library (CIL) Zenodo" (2023). "Core Imaging Library - Part I: a versatile Python framework for tomographic imaging" (2021).|https://github.com/TomographicImaging/CIL|Not explicitly stated|https://raw.githubusercontent.com/TomographicImaging/CIL/refs/heads/master/README.md|Provides modular optimisation framework for prototyping reconstruction methods. Tools for loading, preprocessing, visualising tomographic data.|NA|10.5281/zenodo.4746198 (for the software archive)|Yes|https://avatars.githubusercontent.com/u/83641859?s=48&v=4
ClinicalTemplateReader|2025 (copyright in footer of article) / 2022 (publication date of related paper)|Script/Plugin|Clinical workflow and applications|Photons|Unspecified (license file present but content not detailed)|C# (100.0%)|Washington University in St. Louis - Clinical Development (WUSTL-ClinicalDev)|https://github.com/WUSTL-ClinicalDev/ClinicalTemplateReader|"Clinical Template Reader" (software citation, 2020) and "Development and implementation of an open source template interpretation class library for automated treatment planning" (2022).|https://github.com/WUSTL-ClinicalDev/ClinicalTemplateReader|Not explicitly stated|https://raw.githubusercontent.com/WUSTL-ClinicalDev/ClinicalTemplateReader/refs/heads/master/README.md|Tool for automated planning in Eclipse. Supports different Eclipse versions.|NA|Not explicitly stated for the software itself. Publication DOI: 10.1016/j.prro.2021.11.004. Other related DOIs: 10.1002/acm2.13837. Zenodo mentions other template DOIs, e.g., 10.5281/zenodo.10933642.|No|
conehead|Not specified (copyright 2017-2018 for related project)|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT|Jupyter Notebook (63.5%), Python (32.6%), Cython (3.9%)|Not explicitly stated|https://github.com/samuelpeet/conehead|Inspiration drawn from Cho et al (2012) and Yang et al (2002). Related academic papers on radiotherapy, CBCT, AI.|https://github.com/samuelpeet/conehead|Not explicitly stated (suggests GitHub issues for contact). Related Cone Health for clinical services.|https://raw.githubusercontent.com/samuelpeet/conehead/refs/heads/main/README.md|Early experimental development, code expected to change dramatically. Uses Python/Cython.|NA|Not explicitly stated for the software itself. Publication DOI for related work: 10.1186/s13014-021-01866-7. Zenodo records for CBCT datasets exist, e.g., 10.5281/zenodo.14918089.|No|
cornerstone3D|2026 (latest release)|Application|Software Engineering and Data Infrastructure|Photons|MIT|JavaScript (75.0%), HTML (23.0%), TypeScript (1.6%)|Not explicitly stated, but started by Chris Hafey. Supported by Open Health Imaging Foundation.|https://cornerstonejs.org/|No specific publications listed for the library itself. Related academic papers on medical imaging, deep learning.|https://github.com/cornerstonejs/cornerstone3D|Chris Hafey (chafey@gmail.com). Google groups forum. OHIFViewer contact@ohif.org.|https://raw.githubusercontent.com/cornerstonejs/cornerstone3D/refs/heads/main/README.md|Cornerstone is a set of JavaScript libraries that can be used to build web-based medical imaging applications. It provides a framework to build radiology applications such as the OHIF Viewer.|NA|Not explicitly stated for the software itself. Zenodo mentions other Cornerstone3D DOIs, e.g., 10.5281/zenodo.14918089 (dataset).|No|
deid|Not explicitly stated (copyright 2025 for GitHub)|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|MIT|Python (99.9%), Dockerfile (0.1%)|Not explicitly stated (hosted under pydicom organization)|pydicom.github.io/deid/|No specific publications listed for the software itself.|https://github.com/pydicom/deid|Issues board on GitHub.|https://raw.githubusercontent.com/pydicom/deid/refs/heads/master/README.md|Aims to provide best effort anonymization for medical images. Mirrors CTP cleaning method.|NA|DOI badge links to zenodo.org/badge/latestdoi/94163984.|No|https://avatars.githubusercontent.com/u/28906941?s=200&v=4
dicomParser|2023 (latest release)|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|MIT|JavaScript (100.0%)|Chris Hafey (author). Hosted under cornerstonejs organization.|https://github.com/cornerstonejs/dicomParser|No specific publications listed for the library itself. Related academic papers on web access to DICOM repositories.|https://github.com/cornerstonejs/dicomParser|Chris Hafey (chafey@gmail.com). Google Groups forum.|https://raw.githubusercontent.com/cornerstonejs/dicomParser/refs/heads/master/README.md|Lightweight library for parsing DICOM P10 byte streams. Fast, easy to use, no external dependencies.|NA|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|Yes|https://avatars.githubusercontent.com/u/34072764?s=200&v=4
DLTK|2017 (publication related to DLTK)|Library/Toolkit|Artificial Intelligence|Multiple purpose|Apache-2.0|Python (100.0%)|DLTK Team. Authors from Imperial College London.|dltk.github.io/|"DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images" (2017).|https://github.com/DLTK/DLTK|np716@imperial.ac.uk (for Nick Pawlowski, author).|https://raw.githubusercontent.com/DLTK/DLTK/refs/heads/master/README.md|Aims to enable fast prototyping with low entry threshold and ensure reproducibility in image analysis applications. Provides a Model Zoo.|NA|Not explicitly stated for the software itself. Publication DOI: arXiv:1711.06853. Zenodo records for related projects exist, e.g., 10.5281/zenodo.1495335.|Yes|https://dltk.github.io/img/logo_v7_bw_NOTEXT.svg
ESAPIX|Not explicitly stated (no releases published)|Script/Plugin|Software Engineering and Data Infrastructure|Photons|MIT|C# (63.7%), CSS (26.9%), JavaScript (8.7%), HTML (0.7%)|Not explicitly stated (no affiliation with Varian Medical Systems). Publisher: Rex Cardan PhD.|https://github.com/rexcardan/ESAPIX|No publications listed in. Related academic papers on Eclipse Scripting API and automated planning.|https://github.com/rexcardan/ESAPIX|info@esapix.com.|https://raw.githubusercontent.com/rexcardan/ESAPIX/refs/heads/master/README.md|Provides extra methods and bootstrapping frameworks for Varian Eclipse Scripting API. Implements multithreading, asynchronous calls, debugging plugins.|NA|Not explicitly stated for the software itself. Zenodo mentions general DOI versioning.|Yes|https://rexcardan.github.io/ESAPIX/logo.png
Evil-DICOM|2015 (copyright)|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|MIT|C# (97.7%), CSS (1.7%), JavaScript (0.6%)|Not explicitly stated (developed by Rex Cardan).|http://rexcardan.github.io/Evil-DICOM/|Multiple publications listed where it has been used/featured.|https://github.com/rexcardan/Evil-DICOM|Not explicitly stated (GitHub issues/pull requests implied). SourceForge mentions maintainers.|https://raw.githubusercontent.com/rexcardan/Evil-DICOM/refs/heads/master/README.md|Simple-to-use Clibrary for reading and manipulating DICOM files. Dot Net Standard Compliant.|NA|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|Yes|https://github.com/rexcardan/Evil-DICOM/raw/master/docs/images/evilDicomLogo.png
flashgamma|Not explicitly stated (publication 2020)|Library/Toolkit|Quality Assurance|Multiple purpose|MIT|Python (100.0%)|Not explicitly stated|https://github.com/samuelpeet/flashgamma|"Exploring the gamma surface: A new method for visualising modulated radiotherapy quality assurance results" (2020).|https://github.com/samuelpeet/flashgamma|Not explicitly stated (Piwheels.org mentions contact for project).|https://raw.githubusercontent.com/samuelpeet/flashgamma/refs/heads/master/README.md|Code written for personal educational purposes. Performed similarly to proprietary gamma analysis codes internally, but not guaranteed bug-free.|NA|Not explicitly stated for the software itself. Publication DOI: 10.1016/j.ejmp.2020.09.021. Zenodo mentions general DOI versioning.|No|
fo-dicom|2025|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|	MS-PL|C# (100.0%)|Not explicitly stated (GitHub organization fo-dicom). Codecs developed by Efferent Health.|fo-dicom.github.io/stable/v5/index.html|No specific academic publications listed for the library itself.|https://github.com/fo-dicom/fo-dicom|Not explicitly stated (GitHub issues/pull requests/discussions implied). Google Groups forum.|https://raw.githubusercontent.com/fo-dicom/fo-dicom/refs/heads/development/README.md|Targets.NET Standard 2.0. High-performance, asynchronous API.|NA|Not explicitly stated for the software itself. Zenodo mentions general DOI versioning.|Yes|https://avatars.githubusercontent.com/u/12371708?s=200&v=4
