Name of the Software|Last Release|code type_not_definitive|Keywords [Max 3]|Field [Photon,Proton, Brachy, Multi]|License|Programming Language|Institution(s)|Website|related publication|GitHub/GitLab/other|Contacts|Comments|DOI of the Software|Software Logo (yes/no)
MITK|2025|Application|Imaging and Image Processing|Multiple purpose|BSD-3-Clause|C++ (95.7%), CMake (3.3%), C (0.9%)|German Cancer Research Center (DKFZ)|www.mitk.org|"The medical imaging interaction toolkit" (2005). "Medical Imaging Interaction Toolkit (MITK): A software system for medical image processing and visualization" (2012).|https://github.com/MITK/MITK|mitk AT dkfz.de (for general inquiries, but mailing list preferred for use/dev questions). Mailing list: mitk-users.|Combines ITK and VTK with an application framework. Aims to reduce effort for interactive medical image analysis applications. Supports Windows, Linux, macOS.|10.1016/j.media.2005.04.005 (for the 2005 publication). Zenodo records for related projects exist, e.g., 10.5281/zenodo.16269478.|Yes
MIPAV|2024 (latest version)|Application|Imaging and Image Processing|Multiple purpose|Other/Proprietary License (NITRC). Free and open source (BIII). Not explicitly stated (official site).|Java|National Institutes of Health (NIH).|mipav.cit.nih.gov|214 PubMed Mentions. Publications listed include "Volumetric neuroimage analysis extensions for the MIPAV software package" (2007).|Not explicitly stated (no public repository link provided)|mipav-support@nih.gov (for bugs/features). ListServ. Old emails: mcmatt@exchange.nih.gov, bug@mipav.cit.nih.gov, wishlist@mipav.cit.nih.gov.|Enables quantitative analysis and visualization of medical images. Cross-platform (Java). Aims to develop computational methods for biomedical data.|Not explicitly stated for the software itself. RRID: SCR_007371. Publications have DOIs. Zenodo mentions general DOI versioning.|Yes
OnkoDICOM|2021 (first project release)|Application|Imaging and Image Processing|Multiple purpose|LGPL-2.1. Open source.|Python (uses pydicom, dicompyler-core, PySide6, PIL, matplotlib)|Not explicitly stated (created with Radiation Oncologists).|onkodicom.com.au|Not explicitly stated for the software itself, but mentions "Publications (22) Med-ImageTools" (likely a mistake in snippet for OnkoDICOM).|https://github.com/didymo/OnkoDICOM|Contact form on website.|Cross-platform. Provides DVH output, clinical data capture (radiomics), Pyradiomics output, anonymization, ROI manipulation. Inspired by dicompyler.|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|Yes
OsiriX|2004 (initial release)|Application|Imaging and Image Processing|Multiple purpose|GNU LGPL (original source code) / Proprietary (since 2010 for OsiriX MD). GPL-3.0 (for Osiri-LXIV fork).|Objective-C (primary), C++, C, Objective-C++|UCLA (original project), LaTour Hospital (Geneva, Switzerland), Pixmeo (company). Cambridge Enterprise (for OSAIRIS AI tool).|www.osirix-viewer.com|"OsiriX: An Open-Source Software for Navigating in Multidimensional DICOM Images" (2004). OSAIRIS AI cancer imaging tool mentioned.|https://github.com/pixmeo/osirix. Also miele-lxiv (fork).|Contact Pixmeo SARL via form/fax. Email: brc_imaging_ct@cornell.edu (for Horos/Osirix questions at Cornell).|Widely used DICOM viewer. Supports 2D, 3D, 4D, 5D viewing. Plugin architecture. Commercial version "OsiriX MD" is FDA/CE certified. Open-source version has limited functionality. OSAIRIS is a cloud-based AI tool for automatic segmentation of radiotherapy images.|Not explicitly stated for the open-source software itself. Publications have DOIs. Zenodo mentions general DOI versioning.|Yes
ROE|2023 (publication date)|Script/Plugin|Treatment Planning and dosimetry|Multiple purpose|GPL-copyrighted. Open-source.|MATLAB (primary), accessible in GNU Octave and Python|Memorial Sloan Kettering Cancer Center (MSKCC)|Not explicitly stated (available as a CERR module).|"ROE (Radiotherapy Outcomes Estimator): An open-source tool for optimizing radiotherapy prescriptions" (2023).|https://github.com/cerr/CERR.git (as a CERR module). Also related to cobeylab/Rt_estimation.|iyera@mskcc.org|Designed for patient-specific prescription determination using personalized dose-response curves. Visualizes TCP and NTCP. Provides a curated library of predictive models. Batch-mode tools for fractionation schemes.|https://doi.org/10.1016/j.cmpb.2023.107833|No
PARADIM|2019 (publication date)|Application|Treatment Planning and dosimetry||Not explicitly stated|PHITS-based|Memorial Sloan Kettering Cancer Center, University of Rhode Island, Japan Atomic Energy Agency, Hanyang University, University of Florida. Johns Hopkins University|Not explicitly stated (no public repository link provided)|"PARaDIM: A PHITS-Based Monte Carlo Tool for Internal Dosimetry with Tetrahedral Mesh Computational Phantoms" (2019).|Not explicitly stated (no public repository link provided)|Not explicitly stated for dosimetry software.|Uses PHITS for dose computation.|10.2967/jnumed.119.229013 (for the publication)|No
ApertureComplexity|2017-2018 (copyright/initial development)|Script/Plugin|Treatment Planning and dosimetry|Photons|GPL-3.0|Python (100.0%)|University of Michigan, Radiation Oncology|https://github.com/victorgabr/ApertureComplexity|"Predicting deliverability of volumetric-modulated arc therapy (VMAT) plans using aperture complexity analysis" (2016) (study used the original script).|https://github.com/victorgabr/ApertureComplexity|Victor Gabriel Leandro Alves (victorgabr on GitHub), Brian Mark Anderson (brianmanderson on GitHub).|Contains complete functionality of aperture complexity analysis. Extends methodology to any TPS exporting DICOM-RP. Requires pydicom, numpy, pandas, pytest.|Not explicitly stated for the software itself. Publication DOI is 10.1120/jacmp.v17i4.6241. Other related DOIs: 10.2478/raon-2021-0046. Zenodo mentions general DOI versioning.|No
BeamSchemeV1|2008 (initial version) / 2025 (latest release)|Application|Treatment Planning and dosimetry|Photons|Unspecified (available in licence.txt but inaccessible).|Pascal (91.1%), JavaScript (5.4%), CSS (3.5%)|Not explicitly stated (copyright by "AC Chamberlain"). Mentions "university course name Medical Physics".|beamschemev1.readthedocs.io/en/latest/|No specific publications listed for BeamSchemeV1 itself.|https://github.com/alanphys/BeamSchemeV1|No specific contact information provided.|Assists in extracting 1D profiles from 2D datasets. Calculates over 90 different parameters. Supports FFF beams. Not intended to replace commercial software. Not compatible with previous versions (from 1.00).|Not explicitly stated for the software itself. Zenodo mentions general DOI versioning for software.|No
CIL|2025 (latest release)|Application|Imaging and Image Processing|Multiple purpose|Apache-2.0|Python (97.7%), C++ (1.4%), C (0.3%), CMake (0.3%)|Collaborative Computational Project in Tomographic Imaging (CCPi) (implied)|tomographicimaging.github.io/CIL/|Multiple publications listed, e.g., "Core Imaging Library (CIL) Zenodo" (2023). "Core Imaging Library - Part I: a versatile Python framework for tomographic imaging" (2021).|https://github.com/TomographicImaging/CIL|Not explicitly stated|Provides modular optimisation framework for prototyping reconstruction methods. Tools for loading, preprocessing, visualising tomographic data. Supports Jupyter Notebooks via Docker.|10.5281/zenodo.4746198 (for the software archive)|Yes
ClinicalTemplateReader|2025 (copyright in footer of article) / 2022 (publication date of related paper)|Script/Plugin|Clinical workflow and applications|Photons|Unspecified (license file present but content not detailed)|C# (100.0%)|Washington University in St. Louis - Clinical Development (WUSTL-ClinicalDev)|https://github.com/WUSTL-ClinicalDev/ClinicalTemplateReader|"Clinical Template Reader" (software citation, 2020) and "Development and implementation of an open source template interpretation class library for automated treatment planning" (2022).|https://github.com/WUSTL-ClinicalDev/ClinicalTemplateReader|Not explicitly stated|Tool for automated planning in Eclipse. Supports different Eclipse versions. Leverages plan quality metrics. No releases or packages published on GitHub.|Not explicitly stated for the software itself. Publication DOI: 10.1016/j.prro.2021.11.004. Other related DOIs: 10.1002/acm2.13837. Zenodo mentions other template DOIs, e.g., 10.5281/zenodo.10933642.|No
conehead|Not specified (copyright 2017-2018 for related project)|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT license|Jupyter Notebook (63.5%), Python (32.6%), Cython (3.9%)|Not explicitly stated|https://github.com/samuelpeet/conehead|Inspiration drawn from Cho et al (2012) and Yang et al (2002). Related academic papers on radiotherapy, CBCT, AI.|https://github.com/samuelpeet/conehead|Not explicitly stated (suggests GitHub issues for contact). Related Cone Health for clinical services.|Early experimental development, code expected to change dramatically. Uses Python/Cython.|Not explicitly stated for the software itself. Publication DOI for related work: 10.1186/s13014-021-01866-7. Zenodo records for CBCT datasets exist, e.g., 10.5281/zenodo.14918089.|No
cornerstone|2017 (copyright) / 2021 (latest release)|Application|Software Engeneering and Data Infrastructure|Photons|MIT license|JavaScript (75.0%), HTML (23.0%), TypeScript (1.6%)|Not explicitly stated, but started by Chris Hafey. Supported by Open Health Imaging Foundation.|https://cornerstonejs.org/|No specific publications listed for the library itself. Related academic papers on medical imaging, deep learning.|https://github.com/cornerstonejs/cornerstone|Chris Hafey (chafey@gmail.com). Google groups forum. OHIFViewer contact@ohif.org.|Deprecated, use Cornerstone3D instead. Not a complete application but a component. Agnostic to image container/transport. Depends on ImageLoaders. Open source to reduce cost barrier.|Not explicitly stated for the software itself. Zenodo mentions other Cornerstone3D DOIs, e.g., 10.5281/zenodo.14918089 (dataset).|Yes
deid|Not explicitly stated (copyright 2025 for GitHub)|Library/Toolkit|Software Engeneering and Data Infrastructure|Multiple purpose|MIT license|Python (99.9%), Dockerfile (0.1%)|Not explicitly stated (hosted under pydicom organization)|pydicom.github.io/deid/|No specific publications listed for the software itself.|https://github.com/pydicom/deid|Issues board on GitHub.|Aims to provide best effort anonymization for medical images. Mirrors CTP cleaning method. Developers seeking collaborators for OCR cleaning.|DOI badge links to zenodo.org/badge/latestdoi/94163984.|No
dicomParser|2023 (latest release)|Library/Toolkit|Software Engeneering and Data Infrastructure|Multiple purpose|MIT license|JavaScript (100.0%)|Chris Hafey (author). Hosted under cornerstonejs organization.|https://github.com/cornerstonejs/dicomParser|No specific publications listed for the library itself. Related academic papers on web access to DICOM repositories.|https://github.com/cornerstonejs/dicomParser|Chris Hafey (chafey@gmail.com). Google Groups forum.|Lightweight library for parsing DICOM P10 byte streams. Fast, easy to use, no external dependencies. Designed for web browsers, Node.js, Meteor. Used by cornerstone library.|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|Yes
DLTK|2017 (publication related to DLTK)|Library/Toolkit|Artificial Intelligence|Multiple purpose|Apache-2.0|Python (100.0%)|DLTK Team. Authors from Imperial College London.|dltk.github.io/|"DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images" (2017).|https://github.com/DLTK/DLTK|np716@imperial.ac.uk (for Nick Pawlowski, author).|Aims to enable fast prototyping with low entry threshold and ensure reproducibility in image analysis applications. Provides a Model Zoo. Built on TensorFlow.|Not explicitly stated for the software itself. Publication DOI: arXiv:1711.06853. Zenodo records for related projects exist, e.g., 10.5281/zenodo.1495335.|Yes
ESAPIX|Not explicitly stated (no releases published)|Script/Plugin|Software Engeneering and Data Infrastructure|Photons|MIT license|C# (63.7%), CSS (26.9%), JavaScript (8.7%), HTML (0.7%)|Not explicitly stated (no affiliation with Varian Medical Systems). Publisher: Rex Cardan PhD.|https://github.com/rexcardan/ESAPIX|No publications listed in. Related academic papers on Eclipse Scripting API and automated planning.|https://github.com/rexcardan/ESAPIX|info@esapix.com.|Provides extra methods and bootstrapping frameworks for Varian Eclipse Scripting API. Implements multithreading, asynchronous calls, debugging plugins. Designed to be used and contributed to by the medical physics community.|Not explicitly stated for the software itself. Zenodo mentions general DOI versioning.|No
Evil-DICOM|2015 (copyright)|Library/Toolkit|Software Engeneering and Data Infrastructure|Multiple purpose|MIT Open Source license|C# (97.7%), CSS (1.7%), JavaScript (0.6%)|Not explicitly stated (developed by Rex Cardan).|http://rexcardan.github.io/Evil-DICOM/|Multiple publications listed where it has been used/featured.|https://github.com/rexcardan/Evil-DICOM|Not explicitly stated (GitHub issues/pull requests implied). SourceForge mentions maintainers.|Simple-to-use C# library for reading and manipulating DICOM files. Dot Net Standard Compliant. New documentation via GitHub Pages.|Not explicitly stated for the software itself. Publications mention its use but not a software DOI.|Yes
flashgamma|Not explicitly stated (publication 2020)|Library/Toolkit|Quality Assurance|Multiple purpose|MIT license|Python (100.0%)|Not explicitly stated|https://github.com/samuelpeet/flashgamma|"Exploring the gamma surface: A new method for visualising modulated radiotherapy quality assurance results" (2020).|https://github.com/samuelpeet/flashgamma|Not explicitly stated (Piwheels.org mentions contact for project).|Code written for personal educational purposes. Performed similarly to proprietary gamma analysis codes internally, but not guaranteed bug-free.|Not explicitly stated for the software itself. Publication DOI: 10.1016/j.ejmp.2020.09.021. Zenodo mentions general DOI versioning.|No
fo-dicom|2025|Library/Toolkit|Software Engeneering and Data Infrastructure|Multiple purpose|Microsoft Public License (MS-PL)|C# (100.0%)|Not explicitly stated (GitHub organization fo-dicom). Codecs developed by Efferent Health.|fo-dicom.github.io/stable/v5/index.html|No specific academic publications listed for the library itself.|https://github.com/fo-dicom/fo-dicom|Not explicitly stated (GitHub issues/pull requests/discussions implied). Google Groups forum.|Targets.NET Standard 2.0. High-performance, asynchronous API. Supports various image compressions. Anonymization, DICOM services.|Not explicitly stated for the software itself. Zenodo mentions general DOI versioning.|Yes
med-imagetools|2025 (latest published version)|Library/Toolkit|Imaging and Image Processing|Multiple purpose|MIT license|Python (83.8%), Jupyter Notebook (16.1%), Dockerfile (0.1%)|Not explicitly stated, but authors from Princess Margaret Cancer Centre, University Health Network, IIT Madras, University of Toronto.|bhklab.github.io/med-imagetools|"Med-ImageTools: An open-source Python package for robust data processing pipelines and curating medical imaging data" (2023/2025).|https://github.com/bhklab/med-imagetools|Sejin Kim, Michal Kazmierski, Kevin Qu, Jacob Peoples, Minoru Nakano, Vishwesh Ramanathan, Joseph Marsilla, Mattea Welch, Amber Simpson, Benjamin Haibe-Kains (benjamin.haibe.kains@utoronto.ca).|Aims to provide transparent and reproducible medical image processing pipelines in Python. Focuses on subject-based machine learning and processing DICOMs into deep learning-ready format.|Not explicitly stated for the software itself, but a DOI Status badge is present. Related publication DOI: 10.12688/f1000research.127142.3. Zenodo records for related projects exist, e.g., 10.5281/zenodo.16617216.|No
mri_distortion_toolkit|Feb 21, 2024 (latest release) |Library/Toolkit|Imaging and Image Processing|Multiple purpose|GPL-3.0|Python (89.5%), R (7.2%), Jupyter Notebook (2.8%) / HTML (94.3%) Python (3.0%) CSS (2.3%) Other
(0.4%)|The Image X Institute, University of Sydney|https://github.com/Image-X-Institute/mri_distortion_toolkit|Not explicitly stated|https://github.com/Image-X-Institute/mri_distortion_toolkit|Not explicitly stated|A toolkit to correct geometric distortion in MR images. Includes tools for converting DICOM to NIfTI, and generating distortion correction maps.|Not explicitly stated|No
mudicom|2024|Library/Toolkit|Imaging and Image Processing|Multiple purpose|MIT|Python (100.0%)|Not explicitly stated|Not explicitly stated|Not explicitly stated|https://github.com/neurosnap/mudicom|Not explicitly stated|A Python library for interacting with DICOM files. Provides a simpler, more intuitive interface than other libraries. Archived by the owner on Jul 31, 2023.|Not explicitly stated|No
ParticlePhaseSpace|2018 (first commit) - 2023 first release|Library/Toolkit|Treatment Planning and dosimetry|Multiple purpose|GPL-3.0|Python (99.1%) Other (0.9%)|University of Sydney, Royal Prince Alfred Hospital, Australian Cancer Research Foundation|Not explicitly stated|Not explicitly stated|https://github.com/bwheelz36/ParticlePhaseSpace|Not explicitly stated|A set of tools for processing and analysing particle phase space files. Designed for use with Monte Carlo simulations, particularly for proton therapy.|Not explicitly stated|No
pyESAPI|July 20 2024|Script/Plugin|Software Engeneering and Data Infrastructure|Photons|MIT|Python (100.0%)|Varian Medical Systems|https://pyesapi.readthedocs.io/en/latest/|Not explicitly stated|https://github.com/VarianAPIs/PyESAPI|Not explicitly stated|A Python wrapper for the Varian Eclipse Scripting API (ESAPI). Allows scripting of Eclipse functions using Python. Includes a command-line interface for common tasks.|Not explicitly stated|No
pymcc|May 14 2024|Library/Toolkit|Treatment Planning and dosimetry|Photons|MIT|Python (100.0%)|Not explicitly stated|Not explicitly stated|Not explicitly stated|https://github.com/tbezo/pymcc|Not explicitly stated|Module that reads PTW mephisto mcc files from watertank scans or array files. pymcc relies on Pandas and uses a Pandas DataFrame to store the measurement values within the class objects.|Not explicitly stated|No
pynetdicom|02 Aug 2024|Library/Toolkit|Software Engeneering and Data Infrastructure|Multiple purpose|MIT|Python (99.8%), Shell (0.2%)|Not explicitly stated (hosted under pydicom organization)|https://pydicom.github.io/pynetdicom/|Not explicitly stated|https://github.com/pydicom/pynetdicom|Not explicitly stated|A Python library for DICOM network communication. Implements the DICOM network protocol to allow sending and receiving DICOM files. Used in conjunction with pydicom.|Not explicitly stated|No
RTToolbox|May 23 2019|Library/Toolkit|Treatment Planning and dosimetry|Multiple purpose|BSD-3-Clause|C++ (91.8%), CMake (7.8), C(0.4%)|German Cancer Research Center (DKFZ)|https://www.dkfz-heidelberg.de/en/mic/research/SIDT/sidt_projects.html |Not explicitly stated|https://github.com/MIC-DKFZ/RTTB|rttb@dkfz.de|RTToolbox is a software library to support quantitative analysis of treatment outcome for radiotherapy.|Not explicitly stated|No
